,date,Occurrences,gender,nationality
0,2015-01,1154816,male,America
1,2015-02,1056510,male,America
2,2015-03,1321665,male,America
3,2015-04,997217,male,America
4,2015-05,705450,male,America
5,2015-06,667485,male,America
6,2015-07,1366710,male,America
7,2015-08,2011929,male,America
8,2015-09,1867922,male,America
9,2015-10,1957698,male,America
10,2015-11,1400270,male,America
11,2015-12,1812163,male,America
0,2015-01,238316,female,America
1,2015-02,237207,female,America
2,2015-03,256478,female,America
3,2015-04,215006,female,America
4,2015-05,149427,female,America
5,2015-06,151261,female,America
6,2015-07,277806,female,America
7,2015-08,402213,female,America
8,2015-09,423750,female,America
9,2015-10,406170,female,America
10,2015-11,273956,female,America
11,2015-12,340592,female,America
0,2015-01,257431,male,Britain
1,2015-02,267397,male,Britain
2,2015-03,292815,male,Britain
3,2015-04,221437,male,Britain
4,2015-05,166380,male,Britain
5,2015-06,130644,male,Britain
6,2015-07,327409,male,Britain
7,2015-08,513602,male,Britain
8,2015-09,510583,male,Britain
9,2015-10,533336,male,Britain
10,2015-11,375414,male,Britain
11,2015-12,435390,male,Britain
0,2015-01,36863,female,Britain
1,2015-02,39111,female,Britain
2,2015-03,46749,female,Britain
3,2015-04,30635,female,Britain
4,2015-05,23540,female,Britain
5,2015-06,20625,female,Britain
6,2015-07,58031,female,Britain
7,2015-08,83221,female,Britain
8,2015-09,87149,female,Britain
9,2015-10,92861,female,Britain
10,2015-11,61916,female,Britain
11,2015-12,70461,female,Britain
0,2015-01,93814,male,Australia
1,2015-02,111173,male,Australia
2,2015-03,116438,male,Australia
3,2015-04,80176,male,Australia
4,2015-05,67945,male,Australia
5,2015-06,57283,male,Australia
6,2015-07,225983,male,Australia
7,2015-08,398734,male,Australia
8,2015-09,348700,male,Australia
9,2015-10,324690,male,Australia
10,2015-11,208049,male,Australia
11,2015-12,236379,male,Australia
0,2015-01,18798,female,Australia
1,2015-02,23047,female,Australia
2,2015-03,25839,female,Australia
3,2015-04,15182,female,Australia
4,2015-05,15263,female,Australia
5,2015-06,10534,female,Australia
6,2015-07,53804,female,Australia
7,2015-08,89263,female,Australia
8,2015-09,79854,female,Australia
9,2015-10,81000,female,Australia
10,2015-11,58315,female,Australia
11,2015-12,58873,female,Australia
0,2015-01,101149,male,Canada
1,2015-02,102314,male,Canada
2,2015-03,108845,male,Canada
3,2015-04,102458,male,Canada
4,2015-05,65602,male,Canada
5,2015-06,52269,male,Canada
6,2015-07,89755,male,Canada
7,2015-08,146260,male,Canada
8,2015-09,163039,male,Canada
9,2015-10,195534,male,Canada
10,2015-11,144066,male,Canada
11,2015-12,161618,male,Canada
0,2015-01,16993,female,Canada
1,2015-02,17006,female,Canada
2,2015-03,16572,female,Canada
3,2015-04,13256,female,Canada
4,2015-05,10873,female,Canada
5,2015-06,9469,female,Canada
6,2015-07,27875,female,Canada
7,2015-08,30788,female,Canada
8,2015-09,55573,female,Canada
9,2015-10,33517,female,Canada
10,2015-11,24944,female,Canada
11,2015-12,31174,female,Canada
0,2015-01,66975,male,France
1,2015-02,32708,male,France
2,2015-03,33532,male,France
3,2015-04,20069,male,France
4,2015-05,18603,male,France
5,2015-06,17222,male,France
6,2015-07,32624,male,France
7,2015-08,39302,male,France
8,2015-09,46323,male,France
9,2015-10,45399,male,France
10,2015-11,88844,male,France
11,2015-12,49334,male,France
0,2015-01,6077,female,France
1,2015-02,4051,female,France
2,2015-03,4899,female,France
3,2015-04,3475,female,France
4,2015-05,2805,female,France
5,2015-06,2764,female,France
6,2015-07,3941,female,France
7,2015-08,3827,female,France
8,2015-09,7638,female,France
9,2015-10,5001,female,France
10,2015-11,5941,female,France
11,2015-12,8029,female,France
0,2015-01,31031,male,Germany
1,2015-02,32597,male,Germany
2,2015-03,45750,male,Germany
3,2015-04,27545,male,Germany
4,2015-05,16415,male,Germany
5,2015-06,17898,male,Germany
6,2015-07,43840,male,Germany
7,2015-08,47502,male,Germany
8,2015-09,85530,male,Germany
9,2015-10,61669,male,Germany
10,2015-11,55557,male,Germany
11,2015-12,47403,male,Germany
0,2015-01,5670,female,Germany
1,2015-02,11696,female,Germany
2,2015-03,7193,female,Germany
3,2015-04,3617,female,Germany
4,2015-05,3740,female,Germany
5,2015-06,5509,female,Germany
6,2015-07,7248,female,Germany
7,2015-08,9923,female,Germany
8,2015-09,23634,female,Germany
9,2015-10,12714,female,Germany
10,2015-11,13181,female,Germany
11,2015-12,9436,female,Germany
0,2015-01,64386,male,India
1,2015-02,76442,male,India
2,2015-03,72845,male,India
3,2015-04,61369,male,India
4,2015-05,41384,male,India
5,2015-06,35847,male,India
6,2015-07,67826,male,India
7,2015-08,97709,male,India
8,2015-09,95368,male,India
9,2015-10,102810,male,India
10,2015-11,81175,male,India
11,2015-12,100229,male,India
0,2015-01,11159,female,India
1,2015-02,10402,female,India
2,2015-03,10963,female,India
3,2015-04,8091,female,India
4,2015-05,5232,female,India
5,2015-06,4533,female,India
6,2015-07,10196,female,India
7,2015-08,18376,female,India
8,2015-09,14953,female,India
9,2015-10,14721,female,India
10,2015-11,10726,female,India
11,2015-12,16072,female,India
0,2016-01,31702,male,America
1,2016-02,903724,male,America
2,2016-03,21744,male,America
3,2016-04,987124,male,America
4,2016-05,1981655,male,America
5,2016-06,58859,male,America
6,2016-07,2354539,male,America
7,2016-08,2135602,male,America
8,2016-09,2519571,male,America
9,2016-10,18584,male,America
10,2016-11,89140,male,America
11,2016-12,1947911,male,America
0,2016-01,10335,female,America
1,2016-02,180083,female,America
2,2016-03,3735,female,America
3,2016-04,199044,female,America
4,2016-05,421221,female,America
5,2016-06,13274,female,America
6,2016-07,599735,female,America
7,2016-08,542083,female,America
8,2016-09,555994,female,America
9,2016-10,4074,female,America
10,2016-11,20211,female,America
11,2016-12,361104,female,America
0,2016-01,7937,male,Britain
1,2016-02,195190,male,Britain
2,2016-03,1650,male,Britain
3,2016-04,208792,male,Britain
4,2016-05,526242,male,Britain
5,2016-06,10324,male,Britain
6,2016-07,531776,male,Britain
7,2016-08,486419,male,Britain
8,2016-09,543454,male,Britain
9,2016-10,2155,male,Britain
10,2016-11,11295,male,Britain
11,2016-12,464262,male,Britain
0,2016-01,975,female,Britain
1,2016-02,36417,female,Britain
2,2016-03,333,female,Britain
3,2016-04,35838,female,Britain
4,2016-05,85906,female,Britain
5,2016-06,2567,female,Britain
6,2016-07,112090,female,Britain
7,2016-08,91484,female,Britain
8,2016-09,99672,female,Britain
9,2016-10,384,female,Britain
10,2016-11,1517,female,Britain
11,2016-12,82760,female,Britain
0,2016-01,3262,male,Australia
1,2016-02,108495,male,Australia
2,2016-03,607,male,Australia
3,2016-04,102704,male,Australia
4,2016-05,272907,male,Australia
5,2016-06,3263,male,Australia
6,2016-07,248743,male,Australia
7,2016-08,273592,male,Australia
8,2016-09,316219,male,Australia
9,2016-10,361,male,Australia
10,2016-11,4082,male,Australia
11,2016-12,251307,male,Australia
0,2016-01,1239,female,Australia
1,2016-02,29992,female,Australia
2,2016-03,105,female,Australia
3,2016-04,21916,female,Australia
4,2016-05,68800,female,Australia
5,2016-06,733,female,Australia
6,2016-07,73303,female,Australia
7,2016-08,68800,female,Australia
8,2016-09,84617,female,Australia
9,2016-10,183,female,Australia
10,2016-11,913,female,Australia
11,2016-12,57295,female,Australia
0,2016-01,2990,male,Canada
1,2016-02,77911,male,Canada
2,2016-03,949,male,Canada
3,2016-04,98328,male,Canada
4,2016-05,216555,male,Canada
5,2016-06,4007,male,Canada
6,2016-07,144447,male,Canada
7,2016-08,149365,male,Canada
8,2016-09,191586,male,Canada
9,2016-10,823,male,Canada
10,2016-11,5370,male,Canada
11,2016-12,178312,male,Canada
0,2016-01,702,female,Canada
1,2016-02,15180,female,Canada
2,2016-03,239,female,Canada
3,2016-04,17064,female,Canada
4,2016-05,49247,female,Canada
5,2016-06,1091,female,Canada
6,2016-07,33466,female,Canada
7,2016-08,37068,female,Canada
8,2016-09,36611,female,Canada
9,2016-10,210,female,Canada
10,2016-11,1000,female,Canada
11,2016-12,31934,female,Canada
0,2016-01,566,male,France
1,2016-02,16650,male,France
2,2016-03,124,male,France
3,2016-04,19277,male,France
4,2016-05,58366,male,France
5,2016-06,539,male,France
6,2016-07,97456,male,France
7,2016-08,46037,male,France
8,2016-09,55415,male,France
9,2016-10,115,male,France
10,2016-11,662,male,France
11,2016-12,44380,male,France
0,2016-01,69,female,France
1,2016-02,1921,female,France
2,2016-03,383,female,France
3,2016-04,2028,female,France
4,2016-05,8481,female,France
5,2016-06,129,female,France
6,2016-07,6560,female,France
7,2016-08,6328,female,France
8,2016-09,11222,female,France
9,2016-10,12,female,France
10,2016-11,187,female,France
11,2016-12,6739,female,France
0,2016-01,1215,male,Germany
1,2016-02,19582,male,Germany
2,2016-03,179,male,Germany
3,2016-04,26548,male,Germany
4,2016-05,54364,male,Germany
5,2016-06,626,male,Germany
6,2016-07,94869,male,Germany
7,2016-08,61586,male,Germany
8,2016-09,60105,male,Germany
9,2016-10,184,male,Germany
10,2016-11,2642,male,Germany
11,2016-12,63616,male,Germany
0,2016-01,87,female,Germany
1,2016-02,5913,female,Germany
2,2016-03,43,female,Germany
3,2016-04,4309,female,Germany
4,2016-05,6842,female,Germany
5,2016-06,197,female,Germany
6,2016-07,19823,female,Germany
7,2016-08,12408,female,Germany
8,2016-09,16771,female,Germany
9,2016-10,11,female,Germany
10,2016-11,263,female,Germany
11,2016-12,21219,female,Germany
0,2016-01,2110,male,India
1,2016-02,40956,male,India
2,2016-03,238,male,India
3,2016-04,45094,male,India
4,2016-05,110117,male,India
5,2016-06,1349,male,India
6,2016-07,102669,male,India
7,2016-08,104262,male,India
8,2016-09,106236,male,India
9,2016-10,265,male,India
10,2016-11,972,male,India
11,2016-12,105133,male,India
0,2016-01,222,female,India
1,2016-02,5743,female,India
2,2016-03,62,female,India
3,2016-04,8189,female,India
4,2016-05,18720,female,India
5,2016-06,249,female,India
6,2016-07,22180,female,India
7,2016-08,24870,female,India
8,2016-09,19939,female,India
9,2016-10,104,female,India
10,2016-11,179,female,India
11,2016-12,16094,female,India
0,2017-01,94374,male,America
1,2017-02,768359,male,America
2,2017-03,2352178,male,America
3,2017-04,2591520,male,America
4,2017-05,2539877,male,America
5,2017-06,2602628,male,America
6,2017-07,2664020,male,America
7,2017-08,3711220,male,America
8,2017-09,3309019,male,America
9,2017-10,3442095,male,America
10,2017-11,2739732,male,America
11,2017-12,2492474,male,America
0,2017-01,13641,female,America
1,2017-02,157905,female,America
2,2017-03,471853,female,America
3,2017-04,516278,female,America
4,2017-05,515264,female,America
5,2017-06,567363,female,America
6,2017-07,494994,female,America
7,2017-08,662049,female,America
8,2017-09,671746,female,America
9,2017-10,662326,female,America
10,2017-11,581982,female,America
11,2017-12,493901,female,America
0,2017-01,9106,male,Britain
1,2017-02,152638,male,Britain
2,2017-03,588203,male,Britain
3,2017-04,678357,male,Britain
4,2017-05,622697,male,Britain
5,2017-06,725575,male,Britain
6,2017-07,660905,male,Britain
7,2017-08,665295,male,Britain
8,2017-09,674396,male,Britain
9,2017-10,714085,male,Britain
10,2017-11,667374,male,Britain
11,2017-12,574686,male,Britain
0,2017-01,2838,female,Britain
1,2017-02,29981,female,Britain
2,2017-03,157104,female,Britain
3,2017-04,121900,female,Britain
4,2017-05,177920,female,Britain
5,2017-06,218001,female,Britain
6,2017-07,147331,female,Britain
7,2017-08,139192,female,Britain
8,2017-09,150261,female,Britain
9,2017-10,170170,female,Britain
10,2017-11,146475,female,Britain
11,2017-12,128787,female,Britain
0,2017-01,4205,male,Australia
1,2017-02,97465,male,Australia
2,2017-03,242666,male,Australia
3,2017-04,262285,male,Australia
4,2017-05,248652,male,Australia
5,2017-06,293866,male,Australia
6,2017-07,274834,male,Australia
7,2017-08,345599,male,Australia
8,2017-09,289104,male,Australia
9,2017-10,293694,male,Australia
10,2017-11,298266,male,Australia
11,2017-12,242661,male,Australia
0,2017-01,703,female,Australia
1,2017-02,29065,female,Australia
2,2017-03,65133,female,Australia
3,2017-04,59952,female,Australia
4,2017-05,64017,female,Australia
5,2017-06,77430,female,Australia
6,2017-07,76866,female,Australia
7,2017-08,98609,female,Australia
8,2017-09,82684,female,Australia
9,2017-10,91746,female,Australia
10,2017-11,59865,female,Australia
11,2017-12,53898,female,Australia
0,2017-01,6124,male,Canada
1,2017-02,57475,male,Canada
2,2017-03,192522,male,Canada
3,2017-04,229045,male,Canada
4,2017-05,194422,male,Canada
5,2017-06,177780,male,Canada
6,2017-07,158959,male,Canada
7,2017-08,189036,male,Canada
8,2017-09,209041,male,Canada
9,2017-10,235315,male,Canada
10,2017-11,201797,male,Canada
11,2017-12,182879,male,Canada
0,2017-01,4192,female,Canada
1,2017-02,11330,female,Canada
2,2017-03,39940,female,Canada
3,2017-04,46599,female,Canada
4,2017-05,38515,female,Canada
5,2017-06,45608,female,Canada
6,2017-07,34671,female,Canada
7,2017-08,46311,female,Canada
8,2017-09,38460,female,Canada
9,2017-10,46859,female,Canada
10,2017-11,42303,female,Canada
11,2017-12,34007,female,Canada
0,2017-01,1153,male,France
1,2017-02,15027,male,France
2,2017-03,73235,male,France
3,2017-04,127985,male,France
4,2017-05,111637,male,France
5,2017-06,81018,male,France
6,2017-07,71725,male,France
7,2017-08,72420,male,France
8,2017-09,92871,male,France
9,2017-10,70779,male,France
10,2017-11,71512,male,France
11,2017-12,65701,male,France
0,2017-01,104,female,France
1,2017-02,3532,female,France
2,2017-03,10785,female,France
3,2017-04,26808,female,France
4,2017-05,21958,female,France
5,2017-06,10004,female,France
6,2017-07,6572,female,France
7,2017-08,4385,female,France
8,2017-09,11074,female,France
9,2017-10,16294,female,France
10,2017-11,6971,female,France
11,2017-12,7873,female,France
0,2017-01,843,male,Germany
1,2017-02,16827,male,Germany
2,2017-03,68086,male,Germany
3,2017-04,90239,male,Germany
4,2017-05,77255,male,Germany
5,2017-06,63554,male,Germany
6,2017-07,78094,male,Germany
7,2017-08,89609,male,Germany
8,2017-09,93266,male,Germany
9,2017-10,81100,male,Germany
10,2017-11,86460,male,Germany
11,2017-12,55787,male,Germany
0,2017-01,299,female,Germany
1,2017-02,5012,female,Germany
2,2017-03,22179,female,Germany
3,2017-04,16738,female,Germany
4,2017-05,33643,female,Germany
5,2017-06,31357,female,Germany
6,2017-07,29304,female,Germany
7,2017-08,28530,female,Germany
8,2017-09,35051,female,Germany
9,2017-10,21087,female,Germany
10,2017-11,21760,female,Germany
11,2017-12,15735,female,Germany
0,2017-01,1000,male,India
1,2017-02,32961,male,India
2,2017-03,105974,male,India
3,2017-04,142483,male,India
4,2017-05,138134,male,India
5,2017-06,145755,male,India
6,2017-07,157423,male,India
7,2017-08,164927,male,India
8,2017-09,142289,male,India
9,2017-10,139840,male,India
10,2017-11,142352,male,India
11,2017-12,146557,male,India
0,2017-01,1436,female,India
1,2017-02,5789,female,India
2,2017-03,21370,female,India
3,2017-04,26609,female,India
4,2017-05,23475,female,India
5,2017-06,22125,female,India
6,2017-07,34735,female,India
7,2017-08,28194,female,India
8,2017-09,24387,female,India
9,2017-10,27505,female,India
10,2017-11,22632,female,India
11,2017-12,22692,female,India
0,2018-01,2679034,male,America
1,2018-02,2516856,male,America
2,2018-03,2899634,male,America
3,2018-04,2814967,male,America
4,2018-05,2327793,male,America
5,2018-06,1900354,male,America
6,2018-07,1685499,male,America
7,2018-08,1559465,male,America
8,2018-09,1992566,male,America
9,2018-10,2080563,male,America
10,2018-11,1721883,male,America
11,2018-12,1440020,male,America
0,2018-01,712112,female,America
1,2018-02,651667,female,America
2,2018-03,662801,female,America
3,2018-04,621585,female,America
4,2018-05,519077,female,America
5,2018-06,410628,female,America
6,2018-07,324386,female,America
7,2018-08,375337,female,America
8,2018-09,460108,female,America
9,2018-10,467533,female,America
10,2018-11,394035,female,America
11,2018-12,303107,female,America
0,2018-01,647353,male,Britain
1,2018-02,665846,male,Britain
2,2018-03,860955,male,Britain
3,2018-04,653041,male,Britain
4,2018-05,666649,male,Britain
5,2018-06,635445,male,Britain
6,2018-07,626850,male,Britain
7,2018-08,513178,male,Britain
8,2018-09,657359,male,Britain
9,2018-10,622602,male,Britain
10,2018-11,618764,male,Britain
11,2018-12,494701,male,Britain
0,2018-01,162545,female,Britain
1,2018-02,190686,female,Britain
2,2018-03,225884,female,Britain
3,2018-04,175991,female,Britain
4,2018-05,133151,female,Britain
5,2018-06,132832,female,Britain
6,2018-07,134360,female,Britain
7,2018-08,94942,female,Britain
8,2018-09,159898,female,Britain
9,2018-10,164981,female,Britain
10,2018-11,165475,female,Britain
11,2018-12,124784,female,Britain
0,2018-01,201473,male,Australia
1,2018-02,264995,male,Australia
2,2018-03,276343,male,Australia
3,2018-04,239217,male,Australia
4,2018-05,225360,male,Australia
5,2018-06,235724,male,Australia
6,2018-07,202016,male,Australia
7,2018-08,223613,male,Australia
8,2018-09,249902,male,Australia
9,2018-10,268446,male,Australia
10,2018-11,244496,male,Australia
11,2018-12,147060,male,Australia
0,2018-01,58022,female,Australia
1,2018-02,61008,female,Australia
2,2018-03,63732,female,Australia
3,2018-04,54740,female,Australia
4,2018-05,60040,female,Australia
5,2018-06,53340,female,Australia
6,2018-07,52841,female,Australia
7,2018-08,54543,female,Australia
8,2018-09,66775,female,Australia
9,2018-10,77371,female,Australia
10,2018-11,56954,female,Australia
11,2018-12,30920,female,Australia
0,2018-01,188444,male,Canada
1,2018-02,221020,male,Canada
2,2018-03,240300,male,Canada
3,2018-04,235639,male,Canada
4,2018-05,210182,male,Canada
5,2018-06,167294,male,Canada
6,2018-07,135796,male,Canada
7,2018-08,126102,male,Canada
8,2018-09,174203,male,Canada
9,2018-10,206645,male,Canada
10,2018-11,194764,male,Canada
11,2018-12,141146,male,Canada
0,2018-01,50401,female,Canada
1,2018-02,75200,female,Canada
2,2018-03,54104,female,Canada
3,2018-04,62076,female,Canada
4,2018-05,54300,female,Canada
5,2018-06,44328,female,Canada
6,2018-07,35886,female,Canada
7,2018-08,36117,female,Canada
8,2018-09,49096,female,Canada
9,2018-10,38541,female,Canada
10,2018-11,41396,female,Canada
11,2018-12,32531,female,Canada
0,2018-01,76514,male,France
1,2018-02,65314,male,France
2,2018-03,93419,male,France
3,2018-04,105008,male,France
4,2018-05,95948,male,France
5,2018-06,70445,male,France
6,2018-07,61731,male,France
7,2018-08,45983,male,France
8,2018-09,50147,male,France
9,2018-10,44937,male,France
10,2018-11,68082,male,France
11,2018-12,53287,male,France
0,2018-01,11071,female,France
1,2018-02,12166,female,France
2,2018-03,10589,female,France
3,2018-04,10320,female,France
4,2018-05,6247,female,France
5,2018-06,6235,female,France
6,2018-07,5229,female,France
7,2018-08,5676,female,France
8,2018-09,5815,female,France
9,2018-10,6652,female,France
10,2018-11,5133,female,France
11,2018-12,5800,female,France
0,2018-01,94271,male,Germany
1,2018-02,86744,male,Germany
2,2018-03,79767,male,Germany
3,2018-04,85885,male,Germany
4,2018-05,84843,male,Germany
5,2018-06,53869,male,Germany
6,2018-07,63780,male,Germany
7,2018-08,55259,male,Germany
8,2018-09,71492,male,Germany
9,2018-10,64862,male,Germany
10,2018-11,55232,male,Germany
11,2018-12,51061,male,Germany
0,2018-01,29185,female,Germany
1,2018-02,19903,female,Germany
2,2018-03,29055,female,Germany
3,2018-04,26641,female,Germany
4,2018-05,23138,female,Germany
5,2018-06,21091,female,Germany
6,2018-07,23927,female,Germany
7,2018-08,12599,female,Germany
8,2018-09,15620,female,Germany
9,2018-10,19500,female,Germany
10,2018-11,16439,female,Germany
11,2018-12,15609,female,Germany
0,2018-01,141500,male,India
1,2018-02,143191,male,India
2,2018-03,143935,male,India
3,2018-04,133323,male,India
4,2018-05,130177,male,India
5,2018-06,112716,male,India
6,2018-07,126032,male,India
7,2018-08,129289,male,India
8,2018-09,131456,male,India
9,2018-10,123220,male,India
10,2018-11,131396,male,India
11,2018-12,139966,male,India
0,2018-01,24486,female,India
1,2018-02,25301,female,India
2,2018-03,26067,female,India
3,2018-04,26778,female,India
4,2018-05,22898,female,India
5,2018-06,18336,female,India
6,2018-07,22850,female,India
7,2018-08,25269,female,India
8,2018-09,24479,female,India
9,2018-10,25954,female,India
10,2018-11,24922,female,India
11,2018-12,21969,female,India
0,2019-01,1432887,male,America
1,2019-02,1305097,male,America
2,2019-03,1336574,male,America
3,2019-04,1052541,male,America
4,2019-05,1434007,male,America
5,2019-06,1326154,male,America
6,2019-07,943023,male,America
7,2019-08,1181737,male,America
8,2019-09,1255067,male,America
9,2019-10,1519560,male,America
10,2019-11,1238513,male,America
11,2019-12,1153891,male,America
0,2019-01,398424,female,America
1,2019-02,356925,female,America
2,2019-03,367490,female,America
3,2019-04,278281,female,America
4,2019-05,374044,female,America
5,2019-06,338801,female,America
6,2019-07,274693,female,America
7,2019-08,283521,female,America
8,2019-09,301591,female,America
9,2019-10,349431,female,America
10,2019-11,300712,female,America
11,2019-12,263100,female,America
0,2019-01,343373,male,Britain
1,2019-02,293239,male,Britain
2,2019-03,502781,male,Britain
3,2019-04,360824,male,Britain
4,2019-05,675514,male,Britain
5,2019-06,623755,male,Britain
6,2019-07,371791,male,Britain
7,2019-08,389576,male,Britain
8,2019-09,553169,male,Britain
9,2019-10,628182,male,Britain
10,2019-11,591033,male,Britain
11,2019-12,498205,male,Britain
0,2019-01,86261,female,Britain
1,2019-02,72852,female,Britain
2,2019-03,146082,female,Britain
3,2019-04,104248,female,Britain
4,2019-05,202431,female,Britain
5,2019-06,174727,female,Britain
6,2019-07,87596,female,Britain
7,2019-08,79766,female,Britain
8,2019-09,128848,female,Britain
9,2019-10,139940,female,Britain
10,2019-11,144333,female,Britain
11,2019-12,122556,female,Britain
0,2019-01,139585,male,Australia
1,2019-02,135221,male,Australia
2,2019-03,160865,male,Australia
3,2019-04,132276,male,Australia
4,2019-05,188118,male,Australia
5,2019-06,156339,male,Australia
6,2019-07,114593,male,Australia
7,2019-08,154786,male,Australia
8,2019-09,160697,male,Australia
9,2019-10,164592,male,Australia
10,2019-11,146236,male,Australia
11,2019-12,115590,male,Australia
0,2019-01,36966,female,Australia
1,2019-02,36952,female,Australia
2,2019-03,36781,female,Australia
3,2019-04,29338,female,Australia
4,2019-05,43810,female,Australia
5,2019-06,52181,female,Australia
6,2019-07,36352,female,Australia
7,2019-08,36732,female,Australia
8,2019-09,36570,female,Australia
9,2019-10,43065,female,Australia
10,2019-11,38604,female,Australia
11,2019-12,34389,female,Australia
0,2019-01,134856,male,Canada
1,2019-02,134066,male,Canada
2,2019-03,170099,male,Canada
3,2019-04,125790,male,Canada
4,2019-05,171731,male,Canada
5,2019-06,139934,male,Canada
6,2019-07,81587,male,Canada
7,2019-08,98786,male,Canada
8,2019-09,145935,male,Canada
9,2019-10,154234,male,Canada
10,2019-11,131660,male,Canada
11,2019-12,131435,male,Canada
0,2019-01,29922,female,Canada
1,2019-02,31904,female,Canada
2,2019-03,45103,female,Canada
3,2019-04,34422,female,Canada
4,2019-05,39574,female,Canada
5,2019-06,40519,female,Canada
6,2019-07,20524,female,Canada
7,2019-08,26921,female,Canada
8,2019-09,36600,female,Canada
9,2019-10,32827,female,Canada
10,2019-11,26978,female,Canada
11,2019-12,19901,female,Canada
0,2019-01,37583,male,France
1,2019-02,33014,male,France
2,2019-03,42471,male,France
3,2019-04,52830,male,France
4,2019-05,46728,male,France
5,2019-06,46904,male,France
6,2019-07,32241,male,France
7,2019-08,36420,male,France
8,2019-09,39397,male,France
9,2019-10,49471,male,France
10,2019-11,40146,male,France
11,2019-12,32675,male,France
0,2019-01,5024,female,France
1,2019-02,8483,female,France
2,2019-03,7240,female,France
3,2019-04,7476,female,France
4,2019-05,8793,female,France
5,2019-06,9217,female,France
6,2019-07,2824,female,France
7,2019-08,3350,female,France
8,2019-09,5581,female,France
9,2019-10,5959,female,France
10,2019-11,6236,female,France
11,2019-12,6444,female,France
0,2019-01,46438,male,Germany
1,2019-02,42340,male,Germany
2,2019-03,50955,male,Germany
3,2019-04,40776,male,Germany
4,2019-05,56902,male,Germany
5,2019-06,39640,male,Germany
6,2019-07,26129,male,Germany
7,2019-08,35774,male,Germany
8,2019-09,40713,male,Germany
9,2019-10,50285,male,Germany
10,2019-11,52567,male,Germany
11,2019-12,45302,male,Germany
0,2019-01,16709,female,Germany
1,2019-02,16632,female,Germany
2,2019-03,15813,female,Germany
3,2019-04,11072,female,Germany
4,2019-05,20252,female,Germany
5,2019-06,11240,female,Germany
6,2019-07,8177,female,Germany
7,2019-08,6621,female,Germany
8,2019-09,6354,female,Germany
9,2019-10,7045,female,Germany
10,2019-11,8709,female,Germany
11,2019-12,9581,female,Germany
0,2019-01,138171,male,India
1,2019-02,131776,male,India
2,2019-03,146803,male,India
3,2019-04,114313,male,India
4,2019-05,157405,male,India
5,2019-06,116893,male,India
6,2019-07,83363,male,India
7,2019-08,124504,male,India
8,2019-09,126783,male,India
9,2019-10,119489,male,India
10,2019-11,133254,male,India
11,2019-12,107103,male,India
0,2019-01,22906,female,India
1,2019-02,25906,female,India
2,2019-03,26997,female,India
3,2019-04,23684,female,India
4,2019-05,33950,female,India
5,2019-06,21904,female,India
6,2019-07,15935,female,India
7,2019-08,23185,female,India
8,2019-09,21618,female,India
9,2019-10,21527,female,India
10,2019-11,19523,female,India
11,2019-12,23344,female,India
0,2020-01,1248745,male,America
1,2020-02,1028983,male,America
2,2020-03,962519,male,America
3,2020-04,386297,male,America
0,2020-01,347184,female,America
1,2020-02,276852,female,America
2,2020-03,209885,female,America
3,2020-04,81375,female,America
0,2020-01,479213,male,Britain
1,2020-02,410248,male,Britain
2,2020-03,357694,male,Britain
3,2020-04,150423,male,Britain
0,2020-01,109253,female,Britain
1,2020-02,102080,female,Britain
2,2020-03,79926,female,Britain
3,2020-04,32688,female,Britain
0,2020-01,128119,male,Australia
1,2020-02,139434,male,Australia
2,2020-03,149894,male,Australia
3,2020-04,74147,male,Australia
0,2020-01,47305,female,Australia
1,2020-02,42928,female,Australia
2,2020-03,53119,female,Australia
3,2020-04,20351,female,Australia
0,2020-01,139606,male,Canada
1,2020-02,117297,male,Canada
2,2020-03,110101,male,Canada
3,2020-04,38951,male,Canada
0,2020-01,25898,female,Canada
1,2020-02,25013,female,Canada
2,2020-03,21852,female,Canada
3,2020-04,7464,female,Canada
0,2020-01,36015,male,France
1,2020-02,31304,male,France
2,2020-03,24383,male,France
3,2020-04,10882,male,France
0,2020-01,5319,female,France
1,2020-02,3808,female,France
2,2020-03,3844,female,France
3,2020-04,1099,female,France
0,2020-01,45789,male,Germany
1,2020-02,41333,male,Germany
2,2020-03,37677,male,Germany
3,2020-04,10504,male,Germany
0,2020-01,12483,female,Germany
1,2020-02,6906,female,Germany
2,2020-03,8825,female,Germany
3,2020-04,2785,female,Germany
0,2020-01,106494,male,India
1,2020-02,82055,male,India
2,2020-03,61366,male,India
3,2020-04,25381,male,India
0,2020-01,19006,female,India
1,2020-02,14201,female,India
2,2020-03,12151,female,India
3,2020-04,5537,female,India
